id	jurisdiction	name	type	target	announcement_date	effective_date	enforcement_date	removal_date	removal_method	removal_details	booster_id	duration_days	compliance	exemptions	executive_orders	enforcement_measures	authority	communications	vaccine_eligibility_info	vaccine_availability_info	ATAGI	uptake	popu_info	notes	source	ref_code	ref_no
26	WA	Education Worker (Restrictions on\nAccess) Directions	Employment	Education workers working at education facilities	2021-11-12	2021-11-29	2022-01-01	2022-06-10			48	210	First dose by 1/1/22\nSecond dose by 31/1/22	Unvaccinated individuals may enter an education facility to:\n(a) fulfill a statutory duty under Commonwealth law;\n(b) exercise rights under a Fair Work, Work Health and Safety, or Industrial Relations Act entry permit; or\n(c) respond to an emergency when no vaccinated person is available.	Education Worker (Restrictions on\nAccess) Directions	It is an offence for a person to fail, without reasonable excuse, to comply with any of these directions, punishable by a fine of up to $20,000 for individuals and $100,000 for bodies corporate.	Public Health Order	ABC news article				A Department of Education survey has found 1.4 per cent of school-based staff either intend to apply for a vaccine exemption on medical grounds, or do not want to get the jab. ABC News				WAEEDUT100	
27	WA	Mandatory Vaccination Policy Phased Approach Group 1	Employment	Fire and emergency service workers including WA Police	2021-10-20	2021-11-12	2022-01-01	2022-06-10			48	233	First dose by 1/1/2022\nSecond dose by 1/2/2022	Prior anaphylaxis reaction to a vaccine or its components\nSignificant immunocompromisation (for live vaccines only)\nTemporary exemption granted through application process\nPerforming specific duties outlined in guidelines\nProviding welfare services at emergency sites as an ad hoc volunteer\nResponding to emergencies in non-vaccination-required capacities\nAny other declared exempt persons or classes	Fire and Emergency Services Worker\n(Restrictions on Access) Directions		Public Health Order\nDepartment of Fire and Emergency Services	Commissioner of Police issued an Employer Direction on 24/12/21\nNews article on 20/10/21	All West Australians aged 12 years and over were eligible to be vaccinated by 13/09/21\n8/6/21 for people aged 30-49 (pfizer), 50 and over (Astrazeneca) and fpr 16 and over Indigenous and Torres Strait Islander people\n16/8/21 for people aged 16-29\nSee the 'Aus Vaccine Availability' sheet for more information	All West Australians aged 12 years and over were able to be vaccinated by 13/09/21\n10/6/21 for people aged 30-49 (pfizer), 50 and over (Astrazeneca) and fpr 16 and over Indigenous and Torres Strait Islander people\n16/8/21 for people aged 16-29\nSee the 'Aus Vaccine Availability' sheet for more information					DFES media release	WAEFEST2V1	4507
28	WA	Remote Aboriginal Community Worker\n(Restrictions on Access) Directions	Employment	remote Aboriginal community workers		2021-12-08	2022-01-01	2022-06-10			48	184	First dose by 1/1/22\nFully vaccinated by 1/2/22	Unvaccinated remote Aboriginal community workers may enter or remain in a remote Aboriginal community for:\n(a) performing a law enforcement function;\n(b) family or cultural purposes, for as long as necessary;\n(c) transiting through, without contact with residents and taking the most direct route;\n(d) residing in the community without leaving;\n(e) fulfilling a statutory duty under Commonwealth law;\n(f) exercising rights under a Fair Work, Work Health and Safety, or Industrial Relations Act entry permit;\n(g) responding to an emergency when no vaccinated person is available; or\n(h) any circumstance approved in writing by the Chief Health Officer.	Remote Aboriginal Community Worker\n(Restrictions on Access) Directions		Public Health Order		All West Australians aged 12 years and over were eligible to be vaccinated by 13/09/21\n8/6/21 for people aged 30-49 (pfizer), 50 and over (Astrazeneca) and fpr 16 and over Indigenous and Torres Strait Islander people\n16/8/21 for people aged 16-29\nSee the 'Aus Vaccine Availability' sheet for more information	All West Australians aged 12 years and over were able to be vaccinated by 13/09/21\n10/6/21 for people aged 30-49 (pfizer), 50 and over (Astrazeneca) and fpr 16 and over Indigenous and Torres Strait Islander people\n16/8/21 for people aged 16-29\nSee the 'Aus Vaccine Availability' sheet for more information						WAERCW0000	4506
29	WA	Mandatory Vaccination Policy Phased Approach	Employment	Building and construction workers		2021-11-29	2022-01-01	2022-06-10			48	193	First dose by 01/01/22\nSecond dose by 01/02/22\nBuilding and construction workers (and any other occupation covered by a set of directions) who were eligible to receive their booster dose on or before 4 January 2022 had to receive their booster dose by 5 February 2022.	• Medical exemption\n• temporary exemption\n• performing a specific duty (includes statutory duty, performing any function or duty or exercising any right or power under a Fair Work entry permit or a Work Health and Safety entry permit)\n• responding to an emergency in a capacity other than a person who is subject to vaccination requirements under a direction.\n• Any other person or class of persons declared to be an exempt person.	Building and Construction Industry Worker (Restrictions on Access) Directions	It is an offence for a person to fail, without reasonable excuse, to comply with any of these\ndirections, punishable by a fine of up to $20,000 for individuals and $100,000 for bodies corporate.	Public Health Order		All West Australians aged 12 years and over were eligible to be vaccinated by 13/09/21\n8/6/21 for people aged 30-49 (pfizer), 50 and over (Astrazeneca) and fpr 16 and over Indigenous and Torres Strait Islander people\n16/8/21 for people aged 16-29\nSee the 'Aus Vaccine Availability' sheet for more information	All West Australians aged 12 years and over were able to be vaccinated by 13/09/21\n10/6/21 for people aged 30-49 (pfizer), 50 and over (Astrazeneca) and fpr 16 and over Indigenous and Torres Strait Islander people\n16/8/21 for people aged 16-29\nSee the 'Aus Vaccine Availability' sheet for more information	ATAGI recommends that a person receive their\nbooster vaccination being:\n(a) from the 24 December 2021 until 3 January 2022, a date which is 5 months from\nthe date the person became fully vaccinated;\n(b) from 4 January 2022 until 30 January 2022, a date which is 4 months from the\ndate the person became fully vaccinated;\n( c) from 31 January 2022, a date which is 3 months from the date the person became\nfully vaccinated				WA Government Annoucement	WAEBCW0000	4536
30	WA	Community Care Services Worker (Restrictions on Access) Directions	Employment	Community Care Critical Services\nWorker		2021-11-25	2022-01-01	2022-06-10			48	197	Partially vaccinated by 1/1/22\nFully vaccinated by 1/2/22	Unvaccinated individuals may enter a community care services facility or accommodation to:\n(a) perform a law enforcement function;\n(b) fulfill a statutory duty under Commonwealth law;\n(c) exercise rights under a Fair Work, Work Health and Safety, or Industrial Relations Act entry permit; or\n(d) respond to an emergency when no vaccinated person is available.	Community Care Services Worker (Restrictions on Access) Directions (No 3)	It is an offence for a person to fail, without reasonable excuse, to comply with any of these directions, punishable by a fine of up to $20,000 for individuals and $100,000 for bodies corporate.	Public Health Order		All West Australians aged 12 years and over were eligible to be vaccinated by 13/09/21\n8/6/21 for people aged 30-49 (pfizer), 50 and over (Astrazeneca) and fpr 16 and over Indigenous and Torres Strait Islander people\n16/8/21 for people aged 16-29\nSee the 'Aus Vaccine Availability' sheet for more information	All West Australians aged 12 years and over were able to be vaccinated by 13/09/21\n10/6/21 for people aged 30-49 (pfizer), 50 and over (Astrazeneca) and fpr 16 and over Indigenous and Torres Strait Islander people\n16/8/21 for people aged 16-29\nSee the 'Aus Vaccine Availability' sheet for more information						WAEOTHT200	
31	WA	Public and Commercial Transport Workers (Restrictions on Access) Directions.	Employment	Public and Commercial Transport\nWorkers		2021-12-03	2022-01-01	2022-06-10			48	189	First dose by 1/1/22\nSecond dose by 1/2/22	Unvaccinated individuals may drive or board commercial or public transport to:\n(a) perform a law enforcement function (excluding security officers or authorized persons on public transport);\n(b) fulfill a statutory duty under Commonwealth law;\n(c) exercise rights under a Fair Work, Work Health and Safety, or Industrial Relations Act entry permit; or\n(d) respond to an emergency when no vaccinated person is available.	Public and Commercial Transport\nWorkers (Restrictions on Access) Directions.	It is an offence for a person to fail, without reasonable excuse, to comply with any of these directions, punishable by a fine of up to $20,000 for individuals and $100,000 for bodies corporate.	Public Health Order									WAEOTHT300	
32	WA	Critical Businesses Worker (Restrictions on Access) Directions	Employment	Critical business workers	2021-10-20	2021-12-06	2022-01-01	2022-06-10			48	233	First dose by 1/1/22\nSecond dose by 1/2/22\nBooster dose by 5/2/22 or a month after second dose	Unvaccinated individuals may enter a critical business site to:\n(a) perform a law enforcement function;\n(b) fulfill a statutory duty under Commonwealth law;\n(c) exercise rights under a Fair Work, Work Health and Safety, or Industrial Relations Act entry permit; or\n(d) respond to an emergency when no vaccinated person is available	Critical Businesses Worker (Restrictions\non Access) Directions	It is an offence for a person to fail, without reasonable excuse, to comply with any of these directions, punishable by a fine of up to $20,000 for individuals and $100,000 for bodies corporate.	Public Health Order							"What counts as a “critical business site”, i.e. where ""critical business workers"" work:\n\n1) Critical accommodation premises \n- Hotels, motels or other accommodation facilities (to the extent they provide accommodation).\n\n- Caravan parks and camping grounds (excluding residential parks). \n\n2) Critical hospitality premises \n\n- Restaurants, cafés, pubs, bars or clubs (not nightclubs), including food courts, shopping-centre outlets and food trucks/vehicles; dine-in, takeaway or delivery.\n\n- Truckstops/roadhouses.\n\n- Distilleries, breweries and wineries only to the extent they provide food for on-site consumption, takeaway or delivery. \n\n3) Critical retail, service or distribution premises \n\n- Supermarket, grocery store, butcher, fruit & veg store, fishmonger.\n\n- Retail bakery; bulk food shop; health-food shop.\n\n- Permanent indoor/outdoor markets to the extent they sell groceries/meat/fruit/veg/fish/fresh or prepared food.\n\n- Bank/credit union/building society shopfront.\n\n- Retail hardware store.\n\n- Food distribution centres (excluding manufacturers).\n\n- Petrol stations (including those that sell groceries/food).\n\n- Veterinary clinics/hospitals.\n\n- Funeral, burial, cremation premises (including funeral parlours, crematoria). \n\n4) Plus: any other premises or class of premises specified in writing by the Chief Health Officer under the Directions."		WAEOTHT400	https://www.wa.gov.au/government/announcements/mandatory-covid-19-vaccination-policy-wa-workforces
33	WA	Critical Government Regulator (Restrictions on Access) Directions	Employment	Critical government regulator		2021-12-15	2022-01-01	2022-06-10			48	177	First dose by 1/1/22\nSecond dose by 1/2/22	Unvaccinated individuals may enter a critical government regulator site to:\n(a) perform a law enforcement function;\n(b) fulfill a statutory duty under Commonwealth law;\n(c) exercise rights under a Fair Work or Work Health and Safety entry permit; or\n(d) respond to an emergency when no vaccinated person is available.	Critical Government Regulator\n(Restrictions on Access) Directions	It is an offence for a person to fail, without reasonable excuse, to comply with any of these directions, punishable by a fine of up to $20,000 for individuals and $100,000 for bodies corporate.	Public Health Order									WAEOTHT500	
34	WA	Ministerial Staff Member (Restrictions on\nAccess) Directions	Employment	Ministerial staff member entering a Ministerial site		2021-12-17	2022-01-01	2022-06-10			48	175	First dose by 1/1/22\nSecond dose by 1/2/22	Unvaccinated individuals may enter a Ministerial site to:\n(a) perform a law enforcement function;\n(b) fulfill a statutory duty under Commonwealth law;\n(c) exercise rights under a Fair Work, Work Health and Safety, or Industrial Relations Act entry permit;\n(d) respond to an emergency when no vaccinated person is available; or\n(e) under any written approval from the Chief Health Officer, subject to conditions.	Ministerial Staff Member (Restrictions on\nAccess) Directions	It is an offence for a person to fail, without reasonable excuse, to comply with any of these directions, punishable by a fine of up to $20,000 for individuals and $100,000 for bodies corporate.										WAEOTHT600	
35	WA	Critical Infrastructure Worker (Restrictions on Access) Directions	Employment	Critical infrastructure workers		2021-12-17	2022-01-01	2022-06-10			48	175	First dose by 1/1/22\nSecond dose by 1/2/22	Unvaccinated individuals may enter to:\n(a) perform a law enforcement function;\n(b) fulfill a statutory duty under Commonwealth law;\n(c) exercise rights under a Fair Work, Work Health and Safety, or Industrial Relations Act entry permit;\n(d) respond to an emergency when no vaccinated person is available; or\n(e) under any written approval from the Chief Health Officer, subject to conditions.	Critical Infrastructure Worker\n(Restrictions on Access) Directions	It is an offence for a person to fail, without reasonable excuse, to comply with any of these directions, punishable by a fine of up to $20,000 for individuals and $100,000 for bodies corporate.										WAEOTHT700	
36	WA	Port Worker and Exposed Port Worker (Restrictions on Access) Directions	Employment	Port workers		2021-11-25	2022-01-01	2022-11-04	End of Public Health Emergency which removed all Public Health Directions made under the Emergency Declaration\nNot sure if the directions were lifted earlier		48	344	From 01/01/22, port workers much have one dose to embark or perform work on an unexposed vessel; or enter or remain at a port to carry out port activities or port operations\nor port services or remain upon a vehicle in order to carry only persons disembarking from\nan unexposed vessel\n\nMust have second dose by 01/02/22	Nothing in these directions prevents an unvaccinated person from boarding an exposed or unexposed vessel, dedicated conveyance, or entering a port for the purpose of:\n(a) performing a law enforcement function that requires boarding the vessel or entering the port;\n(b) fulfilling a statutory duty under Commonwealth law that requires boarding the vessel or entering the port;\n(c) exercising rights under a Fair Work or Work Health and Safety entry permit, or a permit under the Industrial Relations Act 1979 (WA); or\n(d) responding to an emergency when no vaccinated or partially vaccinated person is available.	Port Worker and Exposed Port Worker (Restrictions on Access) Directions.	It is an offence for a person to fail, without reasonable excuse, to comply with any of these\ndirections, punishable by a fine of up to $20,000 for individuals and $100,000 for bodies\ncorporate.\n	Public Health Order									WAEPOWT200	5284
37	WA	(BOOSTER) COVID-19 Mandatory Vaccination and Vaccination Program Policy Version 3	Employment	Healthcare and health support workers in hospitals and primary health care settings;		2022-01-13	2022-01-13	2022-11-04	4/11/22 End of Public Health Emergency which removed all Public Health Directions made under the Emergency Declaration			295	BOOSTER\nMust provide evidence of vaccination\nV3 - mandates Booster vaccination	defined under the Directions\nMedical exemption, or a Temporary exemption approved by the Chief Health Officer or their delegate, or as otherwise outlined in the Directions.	PRIMARY HEALTH CARE WORKER (RESTRICTIONS ON ACCESS) DIRECTIONS		Public Health Order	WA Government Annoucement\nNews articles\nRelease of guidelines	All West Australians aged 12 years and over were eligible to be vaccinated by 13/09/21\n8/6/21 for people aged 30-49 (pfizer), 50 and over (Astrazeneca) and fpr 16 and over Indigenous and Torres Strait Islander people\n16/8/21 for people aged 16-29\nSee the 'Aus Vaccine Availability' sheet for more information	All West Australians aged 12 years and over were able to be vaccinated by 13/09/21\n10/6/21 for people aged 30-49 (pfizer), 50 and over (Astrazeneca) and fpr 16 and over Indigenous and Torres Strait Islander people\n16/8/21 for people aged 16-29\nSee the 'Aus Vaccine Availability' sheet for more information	ATAGI recommends that a person receive their\nbooster vaccination being:\n(a) from the 24 December 2021 until 3 January 2022, a date which is 5 months from\nthe date the person became fully vaccinated;\n(b) from 4 January 2022 until 30 January 2022, a date which is 4 months from the\ndate the person became fully vaccinated;\n( c) from 31 January 2022, a date which is 3 months from the date the person became\nfully vaccinated				Department of Health\nPolicy Framework	WAEHCWT0V3	1237
38	WA	(BOOSTER) COVID-19 Mandatory Vaccination and Vaccination Program Policy Version 3	Employment	Healthcare and health support \nworkers in residential aged care; and\nWorkers in residential disability settings.		2022-01-13	2022-01-13	2022-11-04	4/11/22 End of Public Health Emergency which removed all Public Health Directions made under the Emergency Declaration			295	BOOSTER\nMust provide evidence of vaccination\nV3 - mandates Booster vaccination	defined under the Directions\nMedical exemption, or a Temporary exemption approved by the Chief Health Officer or their delegate, or as otherwise outlined in the Directions.	RESIDENTIAL AGED CARE FACILITY WORKER ACCESS DIRECTIONS		Public Health Order	WA Government Annoucement\nNews articles	All West Australians aged 12 years and over were eligible to be vaccinated by 13/09/21\n8/6/21 for people aged 30-49 (pfizer), 50 and over (Astrazeneca) and fpr 16 and over Indigenous and Torres Strait Islander people\n16/8/21 for people aged 16-29\nSee the 'Aus Vaccine Availability' sheet for more information	All West Australians aged 12 years and over were able to be vaccinated by 13/09/21\n10/6/21 for people aged 30-49 (pfizer), 50 and over (Astrazeneca) and fpr 16 and over Indigenous and Torres Strait Islander people\n16/8/21 for people aged 16-29\nSee the 'Aus Vaccine Availability' sheet for more information	ATAGI recommends that a person receive their\nbooster vaccination being:\n(a) from the 24 December 2021 until 3 January 2022, a date which is 5 months from\nthe date the person became fully vaccinated;\n(b) from 4 January 2022 until 30 January 2022, a date which is 4 months from the\ndate the person became fully vaccinated;\n( c) from 31 January 2022, a date which is 3 months from the date the person became\nfully vaccinated				Department of Health\nPolicy Framework	WAERAC00V3	1237
39	WA	WA's Safe Transition Plan 1	Employment	Employees working at venues and events state-wide:\nAll hospitality venues, food and licensed venues including restaurants, dine-in fast food, cafés, bars, pubs, clubs, taverns, licensed commercial boats:\nexcluding food and non-alcoholic beverage takeaway; food courts; roadhouses, and petrol stations\nNight clubs\nBottle shops (including drive through bottle shops)\nIndoor entertainment venues (including play centres, gaming and gambling, theatres, concert halls, cinemas, live music venues, including Perth Convention Centre) and the following specified cultural venues:\nArt Gallery of WA\nGoldfields Arts Centre\nPerth Institute of Contemporary Arts\nWA Museum Boola Bardip\nWA Maritime Museum\nShipwrecks Museum (Fremantle)\nMuseum of the Great Southern\nMuseum of the Goldfields\nMuseum of Geraldton\nGwoonwardu Mia (Carnarvon)\nCrown Perth Complex\nMajor stadiums\nMusic festivals and indoor large events with more than 500 people, unless exempt.\nGyms, fitness studios and centres\nZoos and amusement parks\nVisitors to residential aged care and hospitals	2021-10-20		2022-01-31	2022-11-04	Implied as Plan 2 was announced			380	First dose by 31/1/22\nSecond dose by 28/2/22	Community sport and school-based events, unless at one of the specific venues listed			Public Health Order	State government statement on 19/10/21\nInfographics from Services WA and wa.gov\nPosts by McGowan on Twitter and Facebook	All West Australians aged 12 years and over were eligible to be vaccinated by 13/09/21\n8/6/21 for people aged 30-49 (pfizer), 50 and over (Astrazeneca) and fpr 16 and over Indigenous and Torres Strait Islander people\n16/8/21 for people aged 16-29\nSee the 'Aus Vaccine Availability' sheet for more information	All West Australians aged 12 years and over were able to be vaccinated by 13/09/21\n10/6/21 for people aged 30-49 (pfizer), 50 and over (Astrazeneca) and fpr 16 and over Indigenous and Torres Strait Islander people\n16/8/21 for people aged 16-29\nSee the 'Aus Vaccine Availability' sheet for more information				boarder was set to open on 5/2/22 but was extended due to omicron	WA Government Annoucement	WAEVAE00V1	
40	WA	WA's Safe Transition Plan 1	Public Space	people people aged 16 years and over going to venues and events state-wide	2022-01-13		2022-01-31	2022-11-04	Implied as Plan 2 was announced			295	proof of vaccination required for:\nAll hospitality venues, food and licensed venues including restaurants, dine-in fast food, cafés, bars, pubs, clubs, taverns, licensed commercial boats:\nexcluding food and non-alcoholic beverage takeaway; food courts; roadhouses, and petrol stations\nNight clubs\nBottle shops (including drive through bottle shops)\nIndoor entertainment venues (including play centres, gaming and gambling, theatres, concert halls, cinemas, live music venues, including Perth Convention Centre) and the following specified cultural venues:\nArt Gallery of WA\nGoldfields Arts Centre\nPerth Institute of Contemporary Arts\nWA Museum Boola Bardip\nWA Maritime Museum\nShipwrecks Museum (Fremantle)\nMuseum of the Great Southern\nMuseum of the Goldfields\nMuseum of Geraldton\nGwoonwardu Mia (Carnarvon)\nCrown Perth Complex\nMajor stadiums\nMusic festivals and indoor large events with more than 500 people, unless exempt.\nGyms, fitness studios and centres\nZoos and amusement parks\nVisitors to residential aged care and hospitals	Community sport and school-based events, unless at one of the specific venues listed			Public Health Order		All West Australians aged 12 years and over were eligible to be vaccinated by 13/09/21\n8/6/21 for people aged 30-49 (pfizer), 50 and over (Astrazeneca) and fpr 16 and over Indigenous and Torres Strait Islander people\n16/8/21 for people aged 16-29\nSee the 'Aus Vaccine Availability' sheet for more information	All West Australians aged 12 years and over were able to be vaccinated by 13/09/21\n10/6/21 for people aged 30-49 (pfizer), 50 and over (Astrazeneca) and fpr 16 and over Indigenous and Torres Strait Islander people\n16/8/21 for people aged 16-29\nSee the 'Aus Vaccine Availability' sheet for more information				developed with delta variant in mind	WA Government Annoucement	WAPVAET0V1	
41	WA	WA's Safe Transition Plan 2	Public Space	people 16 years and older	2021-12-13		2022-02-05	2022-04-29	annouced by wa.gov announcement			137	Proof of vaccination for people 16 years and older will be required at:\nvenues or events with 1,000 or more patrons;\nnightclubs;\nthe Crown complex; and\nthe four major stadia (Optus Stadium, RAC Arena, HBF Stadium and HBF Park)				Public Health Order	McGowan had a press conference addressing the updated transition plan on 20/01/21\nInfographics from Services WA and wa.gov\nPosts by McGowan on Twitter and Facebook	All West Australians aged 12 years and over were eligible to be vaccinated by 13/09/21\n8/6/21 for people aged 30-49 (pfizer), 50 and over (Astrazeneca) and fpr 16 and over Indigenous and Torres Strait Islander people\n16/8/21 for people aged 16-29\nSee the 'Aus Vaccine Availability' sheet for more information	All West Australians aged 12 years and over were able to be vaccinated by 13/09/21\n10/6/21 for people aged 30-49 (pfizer), 50 and over (Astrazeneca) and fpr 16 and over Indigenous and Torres Strait Islander people\n16/8/21 for people aged 16-29\nSee the 'Aus Vaccine Availability' sheet for more information					WA Government Annoucement	WAPVAET1V2	784
42	WA	WA's Safe Transition Plan 2	Public Space	areas that haven't reached an 80% vaccination rate by 5/2/22	2021-12-13		2022-02-05	2022-04-29	annouced by wa.gov announcement			137	proof of vaccination will be required at pubs, bars, dine-in cafés and restaurants, bottle shops, indoor entertainment venues, gyms and fitness centres;\nmasks will be required at all indoor public venues without a proof of vaccination entry requirement (such as supermarkets, roadhouses and take away services);\nonly double dose vaccinated travellers will be permitted into the region by air.				Public Health Order	McGowan had a press conference addressing the updated transition plan on 20/01/21\nInfographics from Services WA and wa.gov\nPosts by McGowan on Twitter and Facebook	All West Australians aged 12 years and over were eligible to be vaccinated by 13/09/21\n8/6/21 for people aged 30-49 (pfizer), 50 and over (Astrazeneca) and fpr 16 and over Indigenous and Torres Strait Islander people\n16/8/21 for people aged 16-29\nSee the 'Aus Vaccine Availability' sheet for more information	All West Australians aged 12 years and over were able to be vaccinated by 13/09/21\n10/6/21 for people aged 30-49 (pfizer), 50 and over (Astrazeneca) and fpr 16 and over Indigenous and Torres Strait Islander people\n16/8/21 for people aged 16-29\nSee the 'Aus Vaccine Availability' sheet for more information					WA Government Annoucement	WAPVAET2V2	784
43	WA	(Booster) 2022-2-5	Employment	Western Australia workers who come under an existing vaccine mandate:\nhotel quarantine staff, healthcare and health support workers, mission critical police staff , port workers, freight and logistics workers, resources workers and primary and community health workers.	2021-12-22		2022-02-05	2022-06-10				170	BOOSTER Required to have a third dose within one month of eligibility	(a) performing a law enforcement function that cannot reasonably be performed\nother than by entering the site; or\n(b) performing a statutory duty arising under a law of the Commonwealth that\ncannot reasonably be performed other than by entering the site; or\n(c) performing any function or duty or exercising any right or power under a Fair\nWork entry permit issued by the Fair Work Commission under the Fair Work\nAct 2009 (Cth) or a Work Health and Safety entry permit issued by the Fair\nWork Commission under the Work Health and Safety Act 2011 (Cth) or a right\nof entry permit issued by the Registrar of the Department of the Registrar,\nWestem Australian Industrial Relations Commission under the Industrial\nRelations Act 1979 (WA); or\n(d) responding to an emergency where the emergency response is required to be\nprovided immediately and there is no available alternative to the response being\nprovided by the vaccination directed person.			Public Health Order		All West Australians aged 12 years and over were eligible to be vaccinated by 13/09/21\n8/6/21 for people aged 30-49 (pfizer), 50 and over (Astrazeneca) and fpr 16 and over Indigenous and Torres Strait Islander people\n16/8/21 for people aged 16-29\nSee the 'Aus Vaccine Availability' sheet for more information	All West Australians aged 12 years and over were able to be vaccinated by 13/09/21\n10/6/21 for people aged 30-49 (pfizer), 50 and over (Astrazeneca) and fpr 16 and over Indigenous and Torres Strait Islander people\n16/8/21 for people aged 16-29\nSee the 'Aus Vaccine Availability' sheet for more information					WA Government Annoucement	WAEALLT200	4502\n806
44	WA	WA's Safe Transition Plan 2	Public Space,Travel	Interstate arrivals/travellers	2022-01-20		2022-02-05	2022-11-04	Implied as Plan 3 was announced			288	Hard border\nTravellers must have an approved G2G Pass, under the new exemption criteria;\nBe triple dose vaccinated, if eligible (or double dose vaccinated if not eligible for a third dose);\nProvide proof of a negative Rapid Antigen Test (RAT) within 24 hours before departure;\nUndertake 14 days of self-quarantine at a suitable premises, with the same requirements for household members at the self-quarantine premises; \nPCR testing within 48 hours of arrival and on day 12 of self-quarantine, and household members will also be required to do a PCR test on the traveller’s day 12;\nSubject to mandatory use of the G2G Now app and in-person checks by WA Police as required.\nAdditional requirements are in place for domestic road travel to keep WA safe:\nApproved domestic travellers to limit travel to 1,500km from road borders, to enable people to travel by road to suitable premises for quarantine in Perth from Eucla;\nEntry at the Kununurra border only permitted for transport, freight and logistics and border community residents;\nRestricted travel into remote Aboriginal communities.	Returning Western Australians, with strong recent connections;\nPersons with direct legitimate family connections with WA;\nCompassionate grounds including funeral, palliative care or terminally ill visitation;\nMember of the family of an approved traveller;\nPeople entering for urgent and essential medical treatment;\nReasons of national and state security;\nCommonwealth and State officials, Members of Parliament, Diplomats;\nProvision of specialist skills not available in WA, health services, emergency service workers;\nPeople required to attend court matters, judicial officers and staff of court, tribunals and commissions; and\nSpecial considerations and extraordinary circumstances determined by the State Emergency Coordinator or Chief Health Officer.			Public Health Order	McGowan had a press conference addressing the transition plan on 20/01/21\nInfographics from Services WA and wa.gov\nPosts by McGowan on Twitter and Facebook	All West Australians aged 12 years and over were eligible to be vaccinated by 13/09/21\n8/6/21 for people aged 30-49 (pfizer), 50 and over (Astrazeneca) and fpr 16 and over Indigenous and Torres Strait Islander people\n16/8/21 for people aged 16-29\nSee the 'Aus Vaccine Availability' sheet for more information	All West Australians aged 12 years and over were able to be vaccinated by 13/09/21\n10/6/21 for people aged 30-49 (pfizer), 50 and over (Astrazeneca) and fpr 16 and over Indigenous and Torres Strait Islander people\n16/8/21 for people aged 16-29\nSee the 'Aus Vaccine Availability' sheet for more information				Hard border from 5/2/22 to 3/3/22 (extended due to omicron)	WA Government Annoucement	WAPISTT0V2	784
45	WA	WA's Safe Transition Plan 2	Public Space,Travel	International arrivals/travellers	2022-01-20		2022-02-05	2022-03-03	Implied as Plan 3 was announced			42	Hard border\nNo vaccine requirement\nMeet the Commonwealth requirements to enter Australia under the arrivals cap;\nTravellers must have an approved G2G Pass;\nUndertake 14 days of mandatory quarantine including, seven days in hotel quarantine and seven days of self-quarantine at suitable premises, if eligible;\nPCR testing on days one, six, nine and 12, and household members will also be required to do a PCR test on the traveller’s day 12;\nSubject to mandatory use of G2G Now and in-person checks by WA Police as required;\nInternational travel indirectly into WA via another state or territory will be subject to the same entry and quarantine requirements as domestic travellers.	Returning Western Australians, with strong recent connections;\nPersons with direct legitimate family connections with WA;\nCompassionate grounds including funeral, palliative care or terminally ill visitation;\nMember of the family of an approved traveller;\nPeople entering for urgent and essential medical treatment;\nReasons of national and state security;\nCommonwealth and State officials, Members of Parliament, Diplomats;\nProvision of specialist skills not available in WA, health services, emergency service workers;\nPeople required to attend court matters, judicial officers and staff of court, tribunals and commissions; and\nSpecial considerations and extraordinary circumstances determined by the State Emergency Coordinator or Chief Health Officer.			Public Health Order	McGowan had a press conference addressing the updated transition plan on 20/01/21\nInfographics from Services WA and wa.gov\nPosts by McGowan on Twitter and Facebook	All West Australians aged 12 years and over were eligible to be vaccinated by 13/09/21\n8/6/21 for people aged 30-49 (pfizer), 50 and over (Astrazeneca) and fpr 16 and over Indigenous and Torres Strait Islander people\n16/8/21 for people aged 16-29\nSee the 'Aus Vaccine Availability' sheet for more information	All West Australians aged 12 years and over were able to be vaccinated by 13/09/21\n10/6/21 for people aged 30-49 (pfizer), 50 and over (Astrazeneca) and fpr 16 and over Indigenous and Torres Strait Islander people\n16/8/21 for people aged 16-29\nSee the 'Aus Vaccine Availability' sheet for more information				Hard border from 5/2/22 to 3/3/22 (extended due to omicron)	WA Government Annoucement	WAPINT00V2	784
